@relation MC1
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 real
@attribute attr22 real
@attribute attr23 real
@attribute attr24 real
@attribute attr25 real
@attribute attr26 real
@attribute attr27 real
@attribute attr28 real
@attribute attr29 real
@attribute attr30 real
@attribute attr31 real
@attribute attr32 real
@attribute attr33 real
@attribute attr34 real
@attribute attr35 real
@attribute attr36 real
@attribute attr37 real
@attribute attr38 string
@data
8.0,17.0,12.0,1.0,11.0,30.0,9.0,0.16,14.0,8.0,0.0,45.0,6.0,0.0,54.0,0.0,0.0,0.0,44.93,20.91,19641.56,0.31,164.0,0.05,1091.2,939.38,0.0,8.0,15.0,38.0,0.12,69.0,95.0,33.0,20.0,76.0,18.18,55.0,'N'
2.0,5.0,3.0,1.0,0.0,8.0,3.0,0.19,4.0,3.0,1.0,15.0,1.0,0.0,15.0,0.0,3.0,1.0,30.54,8.67,2294.06,0.09,57.0,0.12,127.45,264.7,0.0,2.0,4.0,14.0,0.15,26.0,31.0,15.0,10.0,20.0,6.25,16.0,'N'
11.0,7.0,2.0,0.0,117.0,12.0,4.0,0.08,6.0,4.0,1.0,36.0,1.0,0.0,53.0,0.0,0.0,0.0,19.63,120.11,283140.67,0.79,440.0,0.01,15730.04,2357.32,0.0,3.0,6.0,34.0,0.02,188.0,252.0,18.0,23.0,183.0,68.82,53.0,'N'
0.0,5.0,1.0,0.0,0.0,8.0,3.0,0.6,4.0,2.0,0.0,9.0,1.0,0.0,5.0,0.0,0.0,0.0,11.52,3.75,161.94,0.01,13.0,0.27,9.0,43.19,0.0,2.0,4.0,8.0,0.43,5.0,8.0,4.0,6.0,7.0,0.0,5.0,'N'
0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.2,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,9.21,11.25,1165.64,0.03,28.0,0.09,64.76,103.61,1.0,0.0,0.0,4.0,0.11,10.0,18.0,4.0,9.0,9.0,28.57,5.0,'N'
5.0,11.0,10.0,3.0,5.0,20.0,6.0,0.25,10.0,6.0,1.0,35.0,1.0,0.0,21.0,0.0,6.0,1.0,52.79,15.18,12164.32,0.27,155.0,0.07,675.8,801.34,0.0,5.0,10.0,31.0,0.17,69.0,86.0,25.0,11.0,36.0,27.59,24.0,'N'
4.0,9.0,2.0,2.0,5.0,16.0,5.0,0.21,8.0,2.0,0.0,18.0,1.0,0.0,22.0,0.0,0.0,0.0,12.71,44.0,24612.08,0.19,122.0,0.02,1367.34,559.37,0.0,4.0,8.0,15.0,0.13,44.0,78.0,8.0,16.0,39.0,24.14,24.0,'N'
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,8.15,3.5,99.85,0.01,9.0,0.29,5.55,28.53,1.0,0.0,0.0,3.0,1.0,2.0,7.0,2.0,7.0,1.0,0.0,0.0,'N'
2.0,1.0,2.0,0.0,4.0,0.0,1.0,0.25,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,11.35,6.0,408.69,0.02,19.0,0.17,22.7,68.11,1.0,0.0,0.0,4.0,0.08,6.0,13.0,4.0,8.0,12.0,50.0,4.0,'N'
2.0,13.0,4.0,1.0,8.0,24.0,7.0,0.13,12.0,6.0,0.0,30.0,6.0,0.0,54.0,0.0,0.0,0.0,25.11,40.0,40181.42,0.33,184.0,0.03,2232.3,1004.54,0.0,6.0,12.0,25.0,0.1,80.0,104.0,22.0,22.0,68.0,14.29,55.0,'N'
0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.17,0.0,1.0,1.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,25.32,3.14,250.07,0.03,23.0,0.32,13.89,79.57,1.0,0.0,0.0,6.0,0.13,11.0,12.0,7.0,4.0,8.0,0.0,6.0,'N'
