@relation CM1
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 real
@attribute attr22 real
@attribute attr23 real
@attribute attr24 real
@attribute attr25 real
@attribute attr26 real
@attribute attr27 real
@attribute attr28 real
@attribute attr29 real
@attribute attr30 real
@attribute attr31 real
@attribute attr32 real
@attribute attr33 real
@attribute attr34 real
@attribute attr35 real
@attribute attr36 real
@attribute attr37 string
@data
9.0,5.0,3.0,2.0,2.0,8.0,3.0,0.16,4.0,2.0,3.0,1.0,11.0,1.0,0.0,17.0,0.0,36.74,14.57,7799.92,0.18,102.0,0.07,433.33,535.29,0.33,2.0,4.0,10.0,0.1,36.0,66.0,21.0,17.0,31.0,19.05,19.0,'N'
19.0,3.0,1.0,2.0,0.0,4.0,2.0,0.06,2.0,2.0,2.0,1.0,23.0,1.0,0.0,33.0,0.0,64.01,11.65,8684.99,0.25,135.0,0.09,482.5,745.68,0.5,1.0,2.0,23.0,0.04,66.0,69.0,34.0,12.0,55.0,5.71,35.0,'N'
0.0,9.0,0.0,0.0,0.0,10.0,5.0,0.56,2.0,5.0,1.0,0.2,12.0,5.0,1.0,9.0,1.0,19.29,6.43,797.14,0.04,31.0,0.16,44.29,124.0,1.0,4.0,7.0,9.0,0.5,10.0,21.0,7.0,9.0,10.0,0.0,9.0,'N'
2.0,15.0,2.0,1.0,9.0,24.0,8.0,0.19,10.0,2.4,6.0,0.75,24.0,6.0,0.71,41.0,4.0,75.22,14.8,16481.41,0.37,187.0,0.07,915.63,1113.43,0.75,7.0,12.0,18.0,0.15,67.0,120.0,43.0,19.0,54.0,19.61,42.0,'N'
5.0,5.0,1.0,0.0,0.0,8.0,3.0,0.15,4.0,2.0,3.0,1.0,10.0,1.0,0.0,20.0,1.0,34.17,10.29,3620.93,0.12,71.0,0.1,201.16,351.75,0.33,2.0,4.0,9.0,0.12,25.0,46.0,17.0,14.0,26.0,0.0,20.0,'N'
0.0,5.0,2.0,0.0,0.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,12.0,1.0,0.0,21.0,1.0,36.48,10.43,3969.82,0.13,72.0,0.1,220.55,380.55,0.33,2.0,4.0,11.0,0.14,27.0,45.0,22.0,17.0,22.0,0.0,21.0,'N'
3.0,3.0,0.0,0.0,5.0,4.0,2.0,0.25,2.0,2.0,1.0,0.5,5.0,1.0,0.0,8.0,0.0,17.16,6.19,657.1,0.04,25.0,0.16,36.51,106.2,0.5,1.0,2.0,5.0,0.12,9.0,16.0,8.0,11.0,17.0,38.46,8.0,'N'
7.0,3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,6.0,1.0,0.0,12.0,2.0,14.62,6.43,604.36,0.03,23.0,0.16,33.58,94.01,0.5,1.0,2.0,6.0,0.1,9.0,14.0,7.0,10.0,20.0,0.0,12.0,'N'
6.0,3.0,1.0,5.0,4.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,6.0,1.0,0.0,10.0,4.0,21.05,9.8,2021.97,0.07,45.0,0.1,112.33,206.32,0.5,1.0,2.0,6.0,0.08,14.0,31.0,10.0,14.0,26.0,47.37,15.0,'N'
9.0,17.0,4.0,0.0,0.0,32.0,9.0,0.38,16.0,2.0,8.0,0.89,34.0,1.0,0.0,24.0,0.0,30.54,11.65,4143.37,0.12,74.0,0.09,230.19,355.74,0.11,8.0,16.0,27.0,0.26,36.0,38.0,17.0,11.0,34.0,0.0,24.0,'N'
3.0,3.0,0.0,2.0,1.0,8.0,2.0,0.18,4.0,2.0,1.0,0.5,5.0,1.0,0.0,9.0,2.0,24.7,7.22,1288.28,0.06,40.0,0.14,71.57,178.38,0.5,2.0,4.0,5.0,0.13,10.0,30.0,9.0,13.0,16.0,25.0,11.0,'N'
16.0,9.0,2.0,11.0,28.0,12.0,5.0,0.11,4.0,3.0,1.0,0.2,21.0,5.0,1.0,34.0,2.0,41.24,20.76,17773.08,0.29,155.0,0.05,987.39,856.15,1.0,4.0,6.0,18.0,0.06,59.0,96.0,27.0,19.0,90.0,53.42,45.0,'N'
13.0,9.0,5.0,12.0,16.0,16.0,5.0,0.14,8.0,2.0,5.0,1.0,21.0,5.0,1.0,25.0,4.0,38.51,14.25,7820.87,0.18,107.0,0.07,434.49,548.83,1.0,4.0,8.0,18.0,0.07,38.0,69.0,20.0,15.0,67.0,52.83,37.0,'N'
8.0,5.0,2.0,2.0,19.0,8.0,3.0,0.14,4.0,2.0,3.0,1.0,10.0,1.0,0.0,20.0,1.0,31.51,10.5,3474.19,0.11,64.0,0.1,193.01,330.88,0.33,2.0,4.0,9.0,0.06,21.0,43.0,18.0,18.0,50.0,51.22,22.0,'Y'
4.0,7.0,1.0,3.0,0.0,12.0,4.0,0.18,6.0,2.0,4.0,1.0,25.0,1.0,0.0,19.0,2.0,40.01,18.29,13377.17,0.24,134.0,0.05,743.18,731.56,0.25,3.0,6.0,23.0,0.15,64.0,70.0,28.0,16.0,27.0,13.64,22.0,'N'
47.0,15.0,7.0,27.0,28.0,20.0,9.0,0.1,10.0,2.0,6.0,0.67,50.0,1.0,0.0,59.0,1.0,47.3,45.77,99082.56,0.72,336.0,0.02,5504.59,2164.83,0.11,5.0,10.0,43.0,0.06,136.0,200.0,52.0,35.0,162.0,48.25,86.0,'N'
26.0,28.0,16.0,20.0,119.0,28.0,17.0,0.1,12.0,2.33,13.0,0.76,72.0,10.0,0.56,154.0,1.0,133.35,38.57,198396.43,1.71,695.0,0.03,11022.02,5143.61,0.59,8.0,14.0,57.0,0.05,285.0,410.0,133.0,36.0,320.0,47.44,174.0,'N'
8.0,3.0,1.0,6.0,5.0,4.0,2.0,0.11,2.0,2.0,1.0,0.5,7.0,1.0,0.0,13.0,1.0,29.61,9.15,2480.95,0.09,57.0,0.11,137.83,271.03,0.5,1.0,2.0,7.0,0.06,17.0,40.0,13.0,14.0,33.0,45.83,19.0,'N'
3.0,3.0,0.0,0.0,0.0,4.0,2.0,0.15,2.0,2.0,1.0,0.5,6.0,1.0,0.0,13.0,2.0,18.1,9.63,1676.34,0.06,41.0,0.1,93.13,174.17,0.5,1.0,2.0,6.0,0.12,14.0,27.0,8.0,11.0,17.0,0.0,13.0,'N'
7.0,3.0,3.0,2.0,7.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,8.0,1.0,0.0,14.0,2.0,25.23,9.5,2277.36,0.08,51.0,0.11,126.52,239.72,0.5,1.0,2.0,8.0,0.06,19.0,32.0,13.0,13.0,31.0,39.13,16.0,'N'
