@relation KC1
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 string
@data
9.0,11.0,0.0,0.0,6.0,5.0,5.0,29.0,26.93,18.9,9619.48,0.17,95.0,0.05,534.42,508.97,36.0,59.0,20.0,21.0,41.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,16.73,3.0,150.57,0.02,14.0,0.33,8.36,50.19,6.0,8.0,6.0,6.0,7.0,'N'
18.0,31.0,0.0,27.0,16.0,13.0,12.0,137.0,86.96,33.6,98179.22,0.97,437.0,0.03,5454.4,2922.0,180.0,257.0,75.0,28.0,184.0,'Y'
1.0,5.0,0.0,1.0,3.0,2.0,1.0,18.0,22.33,14.18,4490.66,0.11,70.0,0.07,249.48,316.65,26.0,44.0,11.0,12.0,23.0,'Y'
5.0,17.0,0.0,7.0,9.0,8.0,1.0,82.0,69.72,22.29,34646.7,0.52,274.0,0.04,1924.82,1554.24,107.0,167.0,36.0,15.0,96.0,'Y'
7.0,9.0,0.0,1.0,5.0,4.0,3.0,21.0,34.66,10.13,3553.24,0.12,73.0,0.1,197.4,350.94,27.0,46.0,16.0,12.0,31.0,'N'
2.0,7.0,0.0,1.0,4.0,4.0,3.0,28.0,44.35,9.92,4365.26,0.15,88.0,0.1,242.51,440.0,29.0,59.0,19.0,13.0,32.0,'N'
1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,17.44,4.67,379.91,0.03,22.0,0.21,21.11,81.41,8.0,14.0,6.0,7.0,9.0,'N'
1.0,13.0,0.0,2.0,7.0,7.0,1.0,42.0,44.97,17.82,14278.39,0.27,155.0,0.06,793.24,801.34,56.0,99.0,22.0,14.0,48.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,6.2,2.5,38.77,0.01,6.0,0.4,2.15,15.51,1.0,5.0,1.0,5.0,4.0,'Y'
0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,3.86,7.0,189.0,0.01,9.0,0.14,10.5,27.0,2.0,7.0,1.0,7.0,2.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,9.6,2.5,60.0,0.01,8.0,0.4,3.33,24.0,3.0,5.0,3.0,5.0,4.0,'N'
8.0,41.0,1.0,5.0,21.0,21.0,13.0,107.0,65.48,35.32,81676.45,0.77,384.0,0.03,4537.58,2312.59,148.0,236.0,44.0,21.0,123.0,'N'
2.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,47.55,6.5,2008.94,0.1,65.0,0.15,111.61,309.07,26.0,39.0,18.0,9.0,25.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,21.58,3.0,194.18,0.02,17.0,0.33,10.79,64.73,8.0,9.0,8.0,6.0,10.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,3.0,6.0,3.0,6.0,6.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.75,1.0,4.75,0.0,3.0,1.0,0.26,4.75,1.0,2.0,1.0,2.0,4.0,'N'
2.0,3.0,0.0,1.0,2.0,2.0,1.0,16.0,35.82,7.07,1791.33,0.08,56.0,0.14,99.52,253.32,22.0,34.0,14.0,9.0,22.0,'N'
1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,10.8,2.5,67.5,0.01,9.0,0.4,3.75,27.0,3.0,6.0,3.0,5.0,7.0,'N'
13.0,21.0,2.0,10.0,11.0,8.0,8.0,70.0,41.39,30.44,38352.97,0.42,216.0,0.03,2130.72,1259.9,90.0,126.0,34.0,23.0,97.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,16.0,0.5,4.0,0.0,4.0,2.0,0.22,8.0,3.0,1.0,3.0,1.0,8.0,'N'
2.0,9.0,0.0,0.0,5.0,5.0,3.0,28.0,39.09,14.71,8458.55,0.19,115.0,0.07,469.92,575.0,43.0,72.0,19.0,13.0,34.0,'N'
2.0,3.0,0.0,0.0,2.0,2.0,1.0,25.0,119.9,6.97,5824.19,0.28,154.0,0.14,323.57,835.64,46.0,108.0,33.0,10.0,32.0,'N'
0.0,5.0,0.0,0.0,3.0,2.0,3.0,7.0,12.96,8.33,900.0,0.04,27.0,0.12,50.0,108.0,10.0,17.0,6.0,10.0,9.0,'N'
1.0,15.0,0.0,0.0,8.0,3.0,4.0,12.0,22.55,17.0,6517.36,0.13,76.0,0.06,362.08,383.37,32.0,44.0,16.0,17.0,15.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,22.21,6.0,799.54,0.04,35.0,0.17,44.42,133.26,12.0,23.0,7.0,7.0,10.0,'N'
0.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,10.3,4.0,164.84,0.01,13.0,0.25,9.16,41.21,4.0,9.0,3.0,6.0,9.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,13.0,59.23,5.6,1857.56,0.11,69.0,0.18,103.2,331.71,28.0,41.0,20.0,8.0,23.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,27.26,5.2,737.24,0.05,34.0,0.19,40.96,141.78,13.0,21.0,10.0,8.0,14.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,16.89,4.5,342.0,0.03,19.0,0.22,19.0,76.0,7.0,12.0,7.0,9.0,11.0,'N'
2.0,3.0,0.0,2.0,2.0,2.0,1.0,24.0,29.77,11.7,4075.46,0.12,82.0,0.09,226.41,348.33,26.0,56.0,10.0,9.0,30.0,'N'
1.0,9.0,0.0,0.0,5.0,4.0,1.0,30.0,35.6,13.34,6337.5,0.16,95.0,0.07,352.08,475.0,39.0,56.0,19.0,13.0,36.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,9.0,11.29,9.0,914.21,0.03,26.0,0.11,50.79,101.58,9.0,17.0,5.0,10.0,16.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,13.5,2.0,54.0,0.01,9.0,0.5,3.0,27.0,4.0,5.0,4.0,4.0,8.0,'N'
0.0,3.0,0.0,0.0,2.0,2.0,1.0,5.0,17.08,3.5,209.28,0.02,18.0,0.29,11.63,59.79,3.0,15.0,3.0,7.0,7.0,'Y'
14.0,37.0,2.0,2.0,19.0,18.0,9.0,116.0,83.27,24.07,48229.6,0.67,334.0,0.04,2679.42,2004.0,114.0,220.0,45.0,19.0,136.0,'N'
0.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,29.29,7.92,1835.8,0.08,52.0,0.13,101.99,231.89,19.0,33.0,12.0,10.0,16.0,'N'
22.0,25.0,0.0,24.0,13.0,12.0,4.0,131.0,98.25,22.82,51144.16,0.75,361.0,0.04,2841.34,2241.61,153.0,208.0,57.0,17.0,179.0,'Y'
4.0,1.0,0.0,11.0,1.0,1.0,1.0,18.0,27.14,10.8,3165.56,0.1,69.0,0.09,175.86,293.11,24.0,45.0,10.0,9.0,36.0,'Y'
2.0,5.0,0.0,0.0,2.0,2.0,1.0,24.0,35.65,8.57,2618.82,0.1,65.0,0.12,145.49,305.53,20.0,45.0,14.0,12.0,28.0,'N'
0.0,3.0,0.0,0.0,2.0,2.0,1.0,16.0,32.68,6.68,1457.67,0.07,47.0,0.15,80.98,218.26,17.0,30.0,14.0,11.0,19.0,'N'
2.0,7.0,0.0,1.0,4.0,3.0,1.0,31.0,35.93,15.17,8265.25,0.18,110.0,0.07,459.18,544.96,42.0,68.0,18.0,13.0,40.0,'Y'
8.0,5.0,2.0,6.0,3.0,3.0,1.0,25.0,35.95,10.47,3942.99,0.13,76.0,0.1,219.05,376.52,29.0,47.0,18.0,13.0,45.0,'N'
2.0,3.0,1.0,10.0,2.0,2.0,1.0,6.0,11.53,6.42,474.89,0.02,20.0,0.16,26.38,74.01,11.0,9.0,6.0,7.0,20.0,'Y'
0.0,1.0,0.0,3.0,1.0,1.0,1.0,6.0,15.22,3.75,213.97,0.02,18.0,0.27,11.89,57.06,6.0,12.0,4.0,5.0,14.0,'N'
4.0,5.0,0.0,3.0,3.0,3.0,1.0,12.0,20.92,11.55,2790.22,0.08,55.0,0.09,155.01,241.58,21.0,34.0,10.0,11.0,21.0,'N'
2.0,15.0,0.0,5.0,8.0,8.0,3.0,75.0,78.07,15.17,17957.52,0.39,212.0,0.07,997.64,1184.01,91.0,121.0,36.0,12.0,92.0,'Y'
7.0,21.0,0.0,7.0,11.0,11.0,1.0,60.0,67.96,19.4,25571.05,0.44,227.0,0.05,1420.61,1318.27,89.0,138.0,39.0,17.0,78.0,'Y'
4.0,13.0,0.0,0.0,7.0,7.0,1.0,46.0,23.36,26.13,15946.3,0.2,119.0,0.04,885.91,610.38,44.0,75.0,16.0,19.0,52.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.75,2.0,31.02,0.01,6.0,0.5,1.72,15.51,2.0,4.0,2.0,4.0,4.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,14.26,2.0,57.06,0.01,9.0,0.5,3.17,28.53,5.0,4.0,5.0,4.0,9.0,'N'
1.0,5.0,0.0,2.0,3.0,3.0,1.0,18.0,24.4,9.9,2391.62,0.08,55.0,0.1,132.87,241.58,18.0,37.0,10.0,11.0,23.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,23.0,4.0,368.0,0.03,23.0,0.25,20.44,92.0,8.0,15.0,8.0,8.0,14.0,'N'
2.0,9.0,1.0,0.0,5.0,5.0,1.0,36.0,35.3,17.0,10202.14,0.2,117.0,0.06,566.79,600.13,51.0,66.0,21.0,14.0,43.0,'N'
2.0,3.0,0.0,0.0,2.0,2.0,1.0,16.0,18.95,10.31,2015.11,0.07,46.0,0.1,111.95,195.4,15.0,31.0,8.0,11.0,20.0,'N'
5.0,25.0,0.0,0.0,13.0,10.0,10.0,40.0,35.3,36.93,48144.92,0.43,231.0,0.03,2674.72,1303.73,94.0,137.0,28.0,22.0,47.0,'Y'
8.0,18.0,0.0,0.0,10.0,10.0,8.0,61.0,48.86,18.3,16361.74,0.3,168.0,0.05,908.99,894.08,61.0,107.0,25.0,15.0,71.0,'N'
4.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,30.84,5.41,902.22,0.06,40.0,0.18,50.12,166.8,17.0,23.0,11.0,7.0,18.0,'N'
