@relation MC2
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 real
@attribute attr22 real
@attribute attr23 real
@attribute attr24 real
@attribute attr25 real
@attribute attr26 real
@attribute attr27 real
@attribute attr28 real
@attribute attr29 real
@attribute attr30 real
@attribute attr31 real
@attribute attr32 real
@attribute attr33 real
@attribute attr34 real
@attribute attr35 real
@attribute attr36 real
@attribute attr37 real
@attribute attr38 real
@attribute attr39 string
@data
16.0,19.0,0.0,0.0,22.0,30.0,10.0,0.2,12.0,2.5,1.0,0.1,31.0,7.0,0.67,50.0,0.0,7.0,0.7,21.17,41.36,36223.29,0.29,191.0,0.02,2012.4,875.73,0.7,9.0,15.0,23.0,0.11,70.0,121.0,11.0,13.0,90.0,30.56,50.0,'N'
9.0,13.0,2.0,0.0,14.0,28.0,7.0,0.23,14.0,2.0,3.0,0.43,28.0,1.0,0.0,30.0,0.0,7.0,1.0,29.37,18.17,9701.95,0.18,99.0,0.06,539.0,533.84,0.14,7.0,14.0,23.0,0.13,44.0,55.0,23.0,19.0,55.0,31.82,30.0,'N'
2.0,3.0,0.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,1.0,0.5,7.0,1.0,0.0,8.0,0.0,2.0,1.0,17.27,7.29,916.65,0.04,34.0,0.14,50.93,125.81,0.5,1.0,2.0,7.0,0.17,17.0,17.0,7.0,6.0,12.0,0.0,8.0,'N'
35.0,97.0,3.0,0.0,51.0,168.0,49.0,0.18,72.0,2.33,8.0,0.16,210.0,34.0,0.69,265.0,0.0,42.0,0.86,54.71,125.67,864010.77,2.29,1118.0,0.01,48000.6,6875.42,0.69,48.0,86.0,163.0,0.14,435.0,683.0,45.0,26.0,353.0,16.14,265.0,'Y'
1.0,3.0,1.0,1.0,0.0,4.0,2.0,0.13,2.0,2.0,1.0,0.5,7.0,1.0,0.0,14.0,0.0,2.0,1.0,17.24,7.5,969.51,0.04,31.0,0.13,53.86,129.27,0.5,1.0,2.0,7.0,0.11,12.0,19.0,8.0,10.0,18.0,6.67,15.0,'N'
7.0,25.0,2.0,0.0,18.0,44.0,13.0,0.27,20.0,2.2,3.0,0.23,55.0,6.0,0.42,48.0,1.0,8.0,0.62,39.18,58.48,133998.62,0.76,400.0,0.02,7444.37,2291.17,0.46,12.0,22.0,44.0,0.17,193.0,207.0,33.0,20.0,75.0,27.27,48.0,'Y'
9.0,23.0,2.0,5.0,9.0,38.0,12.0,0.26,16.0,2.38,4.0,0.33,42.0,8.0,0.64,41.0,3.0,5.0,0.42,42.25,28.27,33760.15,0.4,215.0,0.04,1875.56,1194.24,0.67,11.0,19.0,32.0,0.18,70.0,145.0,26.0,21.0,68.0,25.45,46.0,'Y'
10.0,13.0,2.0,0.0,11.0,24.0,7.0,0.29,12.0,2.0,1.0,0.14,26.0,5.0,0.67,24.0,0.0,0.0,0.0,32.5,17.19,9606.08,0.19,105.0,0.06,533.67,558.8,0.71,6.0,12.0,21.0,0.15,38.0,67.0,21.0,19.0,47.0,31.43,24.0,'Y'
24.0,19.0,3.0,0.0,27.0,34.0,10.0,0.1,16.0,2.13,3.0,0.3,49.0,1.0,0.0,104.0,0.0,8.0,0.8,45.63,55.2,139045.04,0.84,430.0,0.02,7724.72,2518.93,0.1,9.0,17.0,41.0,0.06,168.0,262.0,35.0,23.0,157.0,20.61,104.0,'Y'
4.0,7.0,0.0,0.0,2.0,12.0,4.0,0.33,6.0,2.0,1.0,0.25,14.0,3.0,0.67,12.0,1.0,2.0,0.5,17.23,21.0,7600.61,0.12,77.0,0.05,422.26,361.93,0.75,3.0,6.0,12.0,0.2,36.0,41.0,12.0,14.0,20.0,14.29,12.0,'Y'
19.0,13.0,3.0,11.0,19.0,24.0,7.0,0.1,12.0,2.0,2.0,0.29,35.0,1.0,0.0,57.0,0.0,5.0,0.71,113.84,25.03,71345.69,0.95,439.0,0.04,3963.65,2849.92,0.14,6.0,12.0,30.0,0.06,215.0,224.0,73.0,17.0,108.0,34.48,68.0,'N'
1.0,3.0,0.0,0.0,1.0,4.0,2.0,0.67,2.0,2.0,1.0,0.5,6.0,1.0,0.0,3.0,3.0,2.0,1.0,10.89,5.4,317.58,0.02,17.0,0.19,17.64,58.81,0.5,1.0,2.0,6.0,0.29,9.0,8.0,5.0,6.0,7.0,25.0,3.0,'N'
9.0,11.0,3.0,0.0,33.0,20.0,6.0,0.26,10.0,2.0,2.0,0.33,28.0,1.0,0.0,23.0,2.0,5.0,0.83,19.5,40.24,31575.87,0.26,153.0,0.02,1754.21,784.78,0.17,5.0,10.0,24.0,0.09,76.0,77.0,17.0,18.0,68.0,58.93,23.0,'Y'
0.0,3.0,0.0,0.0,1.0,4.0,2.0,0.18,2.0,2.0,1.0,0.5,6.0,1.0,0.0,11.0,1.0,2.0,1.0,16.29,7.56,931.62,0.04,29.0,0.13,51.76,123.19,0.5,1.0,2.0,6.0,0.14,11.0,18.0,8.0,11.0,14.0,8.33,11.0,'N'
1.0,7.0,1.0,0.0,0.0,10.0,4.0,0.57,4.0,2.5,2.0,0.5,12.0,3.0,0.67,7.0,1.0,3.0,0.75,10.97,13.0,1854.11,0.05,33.0,0.08,103.01,142.62,0.75,3.0,5.0,10.0,0.4,14.0,19.0,7.0,13.0,10.0,0.0,7.0,'N'
6.0,7.0,7.0,2.0,6.0,12.0,4.0,0.07,6.0,2.0,4.0,1.0,31.0,1.0,0.0,55.0,2.0,4.0,1.0,59.86,19.78,23415.51,0.39,224.0,0.05,1300.86,1183.93,0.25,3.0,6.0,29.0,0.06,89.0,135.0,27.0,12.0,71.0,12.7,57.0,'N'
71.0,19.0,9.0,19.0,63.0,34.0,10.0,0.1,16.0,2.13,6.0,0.6,42.0,3.0,0.22,78.0,0.0,9.0,0.9,66.83,32.56,70837.72,0.73,364.0,0.03,3935.43,2175.73,0.3,9.0,17.0,34.0,0.04,140.0,224.0,43.0,20.0,233.0,51.25,97.0,'Y'
5.0,3.0,0.0,0.0,3.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,6.0,1.0,0.0,7.0,0.0,2.0,1.0,25.78,4.5,522.0,0.04,29.0,0.22,29.0,116.0,0.5,1.0,2.0,6.0,0.12,15.0,14.0,10.0,6.0,17.0,30.0,7.0,'N'
15.0,21.0,5.0,0.0,16.0,40.0,11.0,0.15,20.0,2.0,9.0,0.82,50.0,4.0,0.3,74.0,0.0,9.0,0.82,52.32,34.5,62277.28,0.6,302.0,0.03,3459.85,1805.14,0.36,10.0,20.0,41.0,0.1,120.0,182.0,40.0,23.0,107.0,17.78,74.0,'N'
1.0,21.0,5.0,0.0,0.0,36.0,11.0,0.39,16.0,2.25,7.0,0.64,40.0,9.0,0.8,28.0,1.0,11.0,1.0,25.13,31.64,25154.15,0.27,155.0,0.03,1397.45,795.04,0.82,10.0,18.0,31.0,0.35,67.0,88.0,18.0,17.0,31.0,0.0,28.0,'N'
1.0,3.0,0.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,6.0,1.0,0.0,9.0,2.0,2.0,1.0,10.82,9.75,1028.49,0.04,27.0,0.1,57.14,105.49,0.5,1.0,2.0,6.0,0.17,13.0,14.0,6.0,9.0,12.0,0.0,9.0,'Y'
10.0,13.0,1.0,1.0,11.0,22.0,7.0,0.23,10.0,2.2,3.0,0.43,26.0,1.0,0.0,30.0,0.0,7.0,1.0,25.16,22.0,12176.57,0.18,104.0,0.05,676.48,553.48,0.14,6.0,11.0,21.0,0.13,44.0,60.0,20.0,20.0,54.0,28.57,31.0,'N'
0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,5.0,0.0,2.0,1.0,13.95,2.5,87.17,0.01,11.0,0.4,4.84,34.87,0.5,1.0,2.0,6.0,0.29,4.0,7.0,4.0,5.0,7.0,0.0,5.0,'N'
