@relation JM1
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 string
@data
1.0,7.0,0.0,0.0,4.0,3.0,1.0,11.0,25.05,11.2,3142.03,0.09,59.0,0.09,174.56,280.54,28.0,31.0,15.0,12.0,14.0,'N'
5.0,37.0,0.0,6.0,19.0,16.0,10.0,85.0,81.19,27.41,60987.96,0.74,351.0,0.04,3388.22,2225.29,147.0,204.0,59.0,22.0,98.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,56.44,2.83,453.08,0.05,37.0,0.35,25.17,159.91,17.0,20.0,15.0,5.0,14.0,'Y'
16.0,1.0,0.0,0.0,1.0,1.0,1.0,52.0,168.57,16.97,48553.53,0.95,450.0,0.06,2697.42,2860.9,198.0,252.0,70.0,12.0,70.0,'Y'
0.0,7.0,0.0,0.0,4.0,2.0,3.0,9.0,14.32,7.71,852.01,0.04,26.0,0.13,47.33,110.45,9.0,17.0,7.0,12.0,12.0,'N'
8.0,5.0,0.0,0.0,3.0,3.0,1.0,34.0,33.85,32.25,35218.8,0.36,188.0,0.03,1956.6,1091.78,80.0,108.0,31.0,25.0,42.0,'N'
1.0,7.0,0.0,0.0,4.0,3.0,4.0,5.0,17.28,5.79,578.57,0.03,25.0,0.17,32.14,100.0,9.0,16.0,7.0,9.0,8.0,'N'
12.0,25.0,0.0,6.0,13.0,7.0,10.0,110.0,45.65,53.63,131272.91,0.82,405.0,0.02,7292.94,2447.98,165.0,240.0,40.0,26.0,131.0,'N'
12.0,13.0,0.0,9.0,7.0,7.0,6.0,54.0,49.5,35.0,60632.89,0.58,297.0,0.03,3368.49,1732.37,120.0,177.0,36.0,21.0,78.0,'N'
3.0,19.0,0.0,19.0,10.0,6.0,6.0,32.0,29.59,15.24,6868.56,0.15,91.0,0.07,381.59,450.83,37.0,54.0,17.0,14.0,56.0,'N'
8.0,19.0,0.0,1.0,10.0,9.0,7.0,43.0,37.02,28.97,31062.9,0.36,191.0,0.03,1725.72,1072.41,84.0,107.0,29.0,20.0,54.0,'N'
22.0,37.0,0.0,0.0,19.0,15.0,8.0,89.0,53.35,34.59,63844.18,0.62,327.0,0.03,3546.9,1845.54,123.0,204.0,32.0,18.0,113.0,'N'
2.0,5.0,2.0,0.0,3.0,3.0,1.0,11.0,27.12,4.28,496.22,0.04,29.0,0.23,27.57,116.0,11.0,18.0,9.0,7.0,17.0,'N'
49.0,11.0,0.0,6.0,6.0,5.0,4.0,138.0,215.29,34.15,251126.79,2.45,1039.0,0.03,13951.49,7352.81,444.0,595.0,117.0,18.0,195.0,'Y'
1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,19.72,3.33,219.1,0.02,19.0,0.3,12.17,65.73,8.0,11.0,6.0,5.0,8.0,'Y'
3.0,8.0,0.0,0.0,5.0,3.0,1.0,25.0,37.27,16.14,9725.72,0.2,109.0,0.06,540.32,602.07,42.0,67.0,26.0,20.0,30.0,'N'
2.0,5.0,0.0,0.0,3.0,2.0,3.0,9.0,24.67,6.42,1015.92,0.05,35.0,0.16,56.44,158.32,14.0,21.0,12.0,11.0,13.0,'N'
0.0,4.0,0.0,0.0,3.0,2.0,1.0,18.0,26.67,9.0,2160.0,0.08,48.0,0.11,120.0,240.0,18.0,30.0,16.0,16.0,20.0,'N'
1.0,3.0,2.0,0.0,2.0,2.0,1.0,9.0,13.96,6.0,502.57,0.03,22.0,0.17,27.92,83.76,9.0,13.0,6.0,8.0,14.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,24.78,7.2,1284.57,0.06,42.0,0.14,71.37,178.41,16.0,26.0,10.0,9.0,9.0,'N'
16.0,27.0,2.0,12.0,14.0,13.0,8.0,62.0,114.83,11.5,15185.86,0.44,212.0,0.09,843.66,1320.51,92.0,120.0,60.0,15.0,94.0,'Y'
9.0,9.0,0.0,2.0,5.0,2.0,1.0,23.0,36.71,14.48,7692.13,0.18,102.0,0.07,427.34,531.36,38.0,64.0,21.0,16.0,36.0,'N'
2.0,5.0,0.0,1.0,3.0,3.0,1.0,10.0,23.28,10.05,2348.96,0.08,51.0,0.1,130.5,233.83,17.0,34.0,11.0,13.0,15.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,20.67,9.35,1807.0,0.06,44.0,0.11,100.39,193.26,17.0,27.0,10.0,11.0,17.0,'N'
9.0,21.0,0.0,2.0,11.0,6.0,4.0,51.0,40.77,33.45,45603.91,0.45,229.0,0.03,2533.55,1363.51,99.0,130.0,37.0,25.0,64.0,'N'
2.0,7.0,0.0,0.0,4.0,1.0,1.0,16.0,15.66,17.5,4797.27,0.09,72.0,0.06,266.51,274.13,35.0,37.0,7.0,7.0,20.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,7.0,26.62,7.31,1421.44,0.06,43.0,0.14,78.97,194.51,19.0,24.0,13.0,10.0,10.0,'N'
2.0,5.0,0.0,0.0,3.0,2.0,1.0,12.0,27.12,6.68,1209.56,0.06,39.0,0.15,67.2,181.11,17.0,22.0,14.0,11.0,16.0,'N'
2.0,7.0,0.0,0.0,4.0,3.0,1.0,22.0,31.23,10.66,3546.85,0.11,70.0,0.09,197.05,332.84,31.0,39.0,16.0,11.0,26.0,'N'
14.0,12.0,0.0,0.0,11.0,1.0,1.0,62.0,27.23,24.09,15801.66,0.22,125.0,0.04,877.87,655.99,39.0,86.0,17.0,21.0,79.0,'N'
3.0,3.0,0.0,2.0,2.0,2.0,1.0,13.0,26.48,9.82,2554.12,0.09,56.0,0.1,141.9,260.06,25.0,31.0,14.0,11.0,20.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,7.0,22.33,4.38,427.32,0.03,25.0,0.23,23.74,97.67,10.0,15.0,8.0,7.0,10.0,'N'
22.0,1.0,0.0,5.0,1.0,1.0,1.0,29.0,292.71,2.32,1575.46,0.23,118.0,0.43,87.53,679.08,58.0,60.0,50.0,4.0,58.0,'Y'
7.0,25.0,0.0,13.0,13.0,3.0,9.0,48.0,27.92,34.83,33877.71,0.32,215.0,0.03,1882.09,972.57,76.0,139.0,12.0,11.0,70.0,'Y'
4.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,46.95,9.25,4017.03,0.14,84.0,0.11,223.17,434.27,37.0,47.0,24.0,12.0,20.0,'Y'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,9.0,27.03,4.88,642.38,0.04,30.0,0.21,35.69,131.77,13.0,17.0,12.0,9.0,13.0,'N'
6.0,9.0,0.0,2.0,5.0,3.0,1.0,27.0,25.95,22.91,13621.99,0.2,115.0,0.04,756.78,594.54,41.0,74.0,17.0,19.0,38.0,'N'
2.0,7.0,0.0,0.0,4.0,2.0,3.0,16.0,15.69,14.55,3319.78,0.08,48.0,0.07,184.43,228.23,20.0,28.0,11.0,16.0,20.0,'N'
8.0,3.0,0.0,1.0,2.0,1.0,1.0,13.0,27.46,10.97,3303.73,0.1,62.0,0.09,183.54,301.19,27.0,35.0,16.0,13.0,24.0,'N'
5.0,19.0,0.0,0.0,10.0,4.0,10.0,32.0,22.23,28.72,18342.91,0.21,120.0,0.03,1019.05,638.63,47.0,73.0,18.0,22.0,41.0,'Y'
3.0,5.0,0.0,0.0,3.0,3.0,1.0,14.0,17.35,6.86,815.6,0.04,28.0,0.15,45.31,118.94,8.0,20.0,7.0,12.0,20.0,'N'
6.0,27.0,1.0,4.0,14.0,12.0,10.0,95.0,52.79,41.26,89865.49,0.73,353.0,0.02,4992.53,2177.98,146.0,207.0,46.0,26.0,109.0,'N'
4.0,1.0,0.0,1.0,1.0,1.0,1.0,9.0,20.12,7.31,1076.02,0.05,36.0,0.14,59.78,147.15,13.0,23.0,8.0,9.0,16.0,'N'
10.0,3.0,0.0,9.0,2.0,2.0,1.0,30.0,60.18,12.09,8797.96,0.24,131.0,0.08,488.78,727.65,57.0,74.0,33.0,14.0,52.0,'N'
24.0,37.0,0.0,44.0,19.0,12.0,1.0,103.0,86.92,30.67,81739.17,0.89,432.0,0.03,4541.06,2665.41,184.0,248.0,54.0,18.0,173.0,'Y'
3.0,1.0,0.0,13.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.01,13.0,0.0,0.0,30.19,0.0,13.0,0.0,5.0,29.0,'N'
1.0,9.0,0.0,0.0,5.0,2.0,1.0,13.0,12.48,23.14,6685.02,0.1,68.0,0.04,371.39,288.86,27.0,41.0,7.0,12.0,16.0,'N'
1.0,23.0,0.0,0.0,12.0,12.0,12.0,23.0,31.64,23.2,17031.8,0.24,142.0,0.04,946.21,734.13,58.0,84.0,20.0,16.0,26.0,'N'
4.0,1.0,0.0,0.0,1.0,1.0,1.0,22.0,93.71,9.23,7984.62,0.29,173.0,0.11,443.59,865.0,80.0,93.0,26.0,6.0,29.0,'N'
3.0,7.0,0.0,1.0,4.0,4.0,1.0,11.0,28.85,5.96,1024.21,0.06,38.0,0.17,56.9,171.9,13.0,25.0,12.0,11.0,17.0,'N'
3.0,5.0,0.0,0.0,3.0,3.0,1.0,14.0,34.66,9.75,3295.25,0.11,67.0,0.1,183.07,337.97,30.0,37.0,20.0,13.0,19.0,'N'
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,21.19,3.21,218.94,0.02,19.0,0.31,12.16,68.11,9.0,10.0,7.0,5.0,9.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,21.55,12.0,3103.76,0.09,58.0,0.08,172.43,258.64,20.0,38.0,10.0,12.0,14.0,'N'
2.0,7.0,0.0,0.0,4.0,4.0,1.0,15.0,22.43,9.09,1853.64,0.07,48.0,0.11,102.98,203.9,25.0,23.0,11.0,8.0,19.0,'N'
3.0,9.0,0.0,0.0,5.0,5.0,1.0,22.0,36.86,13.5,6717.49,0.17,110.0,0.07,373.19,497.59,42.0,68.0,14.0,9.0,28.0,'Y'
37.0,17.0,2.0,12.0,9.0,4.0,1.0,245.0,166.82,52.04,451812.89,2.89,1216.0,0.02,25100.72,8681.69,563.0,653.0,119.0,22.0,298.0,'Y'
1.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,18.99,5.14,502.31,0.03,25.0,0.19,27.91,97.67,9.0,16.0,7.0,8.0,9.0,'N'
1.0,3.0,0.0,1.0,2.0,2.0,1.0,6.0,23.47,6.36,950.34,0.05,34.0,0.16,52.8,149.34,14.0,20.0,11.0,10.0,11.0,'N'
1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,19.37,2.5,121.08,0.02,14.0,0.4,6.73,48.43,6.0,8.0,6.0,5.0,7.0,'N'
4.0,7.0,0.0,4.0,4.0,3.0,3.0,22.0,31.36,15.55,7578.99,0.16,91.0,0.06,421.05,487.54,36.0,55.0,22.0,19.0,32.0,'N'
5.0,7.0,0.0,2.0,4.0,1.0,1.0,21.0,21.15,12.0,3045.88,0.08,54.0,0.08,169.22,253.82,24.0,30.0,13.0,13.0,30.0,'Y'
18.0,1.0,6.0,2.0,1.0,1.0,1.0,59.0,170.62,15.59,41494.88,0.89,405.0,0.06,2305.27,2660.79,154.0,251.0,79.0,16.0,89.0,'N'
6.0,19.0,0.0,0.0,10.0,3.0,7.0,26.0,27.63,21.18,12391.41,0.2,116.0,0.05,688.41,585.15,45.0,71.0,17.0,16.0,37.0,'N'
2.0,5.0,1.0,0.0,3.0,2.0,1.0,24.0,28.42,17.68,8889.32,0.17,98.0,0.06,493.85,502.67,42.0,56.0,19.0,16.0,27.0,'N'
4.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,33.53,9.75,3187.28,0.11,68.0,0.1,177.07,326.9,26.0,42.0,16.0,12.0,17.0,'N'
5.0,3.0,0.0,2.0,2.0,2.0,1.0,15.0,16.57,15.13,3790.74,0.08,59.0,0.07,210.6,250.63,22.0,37.0,8.0,11.0,24.0,'Y'
38.0,9.0,0.0,1.0,5.0,5.0,1.0,98.0,154.83,38.06,224308.42,1.96,897.0,0.03,12461.58,5893.16,406.0,491.0,80.0,15.0,139.0,'Y'
18.0,17.0,0.0,26.0,9.0,4.0,1.0,62.0,35.0,25.5,22758.63,0.3,174.0,0.04,1264.37,892.5,68.0,106.0,20.0,15.0,108.0,'N'
12.0,15.0,3.0,19.0,8.0,7.0,1.0,52.0,41.29,33.25,45651.03,0.46,250.0,0.03,2536.17,1372.96,76.0,174.0,24.0,21.0,88.0,'Y'
6.0,5.0,0.0,0.0,3.0,3.0,1.0,17.0,24.29,9.75,2309.16,0.08,51.0,0.1,128.28,236.84,18.0,33.0,12.0,13.0,25.0,'N'
1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,13.79,1.5,31.02,0.01,8.0,0.67,1.72,20.68,3.0,5.0,3.0,3.0,8.0,'N'
1.0,7.0,0.0,0.0,4.0,4.0,4.0,7.0,21.46,8.8,1662.05,0.06,43.0,0.11,92.34,188.87,16.0,27.0,10.0,11.0,10.0,'N'
30.0,23.0,2.0,19.0,12.0,4.0,6.0,47.0,28.22,35.42,35409.67,0.33,179.0,0.03,1967.2,999.71,77.0,102.0,25.0,23.0,103.0,'N'
1.0,35.0,0.0,25.0,18.0,4.0,18.0,32.0,24.27,47.5,54762.43,0.38,223.0,0.02,3042.36,1152.89,85.0,138.0,17.0,19.0,60.0,'Y'
3.0,13.0,0.0,0.0,7.0,3.0,7.0,35.0,23.2,27.6,17672.26,0.21,118.0,0.04,981.79,640.3,48.0,70.0,20.0,23.0,40.0,'N'
1.0,3.0,0.0,0.0,2.0,2.0,1.0,3.0,10.99,6.4,449.97,0.02,19.0,0.16,25.0,70.31,8.0,11.0,5.0,8.0,6.0,'N'
3.0,23.0,0.0,0.0,12.0,1.0,1.0,24.0,13.23,33.0,14404.99,0.15,101.0,0.03,800.28,436.51,44.0,57.0,8.0,12.0,29.0,'N'
4.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,25.27,12.83,4162.24,0.11,69.0,0.08,231.24,324.33,22.0,47.0,12.0,14.0,24.0,'N'
5.0,3.0,0.0,0.0,2.0,2.0,1.0,14.0,18.73,9.0,1517.0,0.06,39.0,0.11,84.28,168.56,12.0,27.0,8.0,12.0,22.0,'Y'
2.0,5.0,0.0,3.0,3.0,3.0,1.0,10.0,18.86,11.0,2281.98,0.07,48.0,0.09,126.78,207.45,18.0,30.0,9.0,11.0,17.0,'N'
9.0,11.0,1.0,7.0,6.0,5.0,1.0,52.0,42.67,31.89,43402.17,0.45,245.0,0.03,2411.23,1360.87,94.0,151.0,28.0,19.0,72.0,'Y'
1.0,3.0,0.0,3.0,2.0,1.0,1.0,10.0,17.72,3.0,159.45,0.02,16.0,0.33,8.86,53.15,6.0,10.0,5.0,5.0,16.0,'N'
3.0,7.0,0.0,0.0,4.0,2.0,1.0,9.0,15.54,13.2,2707.77,0.07,46.0,0.08,150.43,205.13,22.0,24.0,10.0,12.0,14.0,'N'
33.0,32.0,0.0,0.0,23.0,19.0,1.0,102.0,60.99,33.1,66834.75,0.67,311.0,0.03,3713.04,2018.97,120.0,191.0,58.0,32.0,137.0,'N'
1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,11.16,3.12,108.97,0.01,11.0,0.32,6.05,34.87,5.0,6.0,4.0,5.0,6.0,'Y'
3.0,5.0,0.0,0.0,3.0,2.0,1.0,11.0,14.89,7.0,729.74,0.03,25.0,0.14,40.54,104.25,7.0,18.0,6.0,12.0,16.0,'N'
5.0,7.0,0.0,8.0,4.0,4.0,1.0,21.0,20.33,14.42,4229.55,0.1,61.0,0.07,234.97,293.25,25.0,36.0,13.0,15.0,36.0,'N'
30.0,43.0,0.0,1.0,22.0,22.0,1.0,173.0,80.11,48.77,190569.02,1.3,608.0,0.02,10587.17,3907.17,252.0,356.0,62.0,24.0,206.0,'N'
4.0,3.0,0.0,1.0,2.0,2.0,1.0,10.0,30.8,10.29,3263.94,0.11,64.0,0.1,181.33,317.07,25.0,39.0,17.0,14.0,17.0,'N'
1.0,67.0,0.0,0.0,41.0,1.0,22.0,118.0,22.92,90.18,186362.34,0.69,391.0,0.01,10353.46,2066.59,101.0,290.0,14.0,25.0,122.0,'Y'
5.0,21.0,0.0,6.0,11.0,10.0,3.0,42.0,53.49,14.0,10483.54,0.25,138.0,0.07,582.42,748.82,58.0,80.0,29.0,14.0,55.0,'Y'
0.0,3.0,0.0,0.0,2.0,2.0,1.0,9.0,15.23,6.0,548.26,0.03,24.0,0.17,30.46,91.38,9.0,15.0,6.0,8.0,11.0,'N'
4.0,5.0,0.0,0.0,3.0,3.0,1.0,14.0,23.44,7.8,1426.13,0.06,41.0,0.13,79.23,182.84,13.0,28.0,10.0,12.0,20.0,'Y'
8.0,9.0,0.0,9.0,5.0,1.0,1.0,50.0,32.18,44.18,62806.83,0.47,269.0,0.02,3489.27,1421.77,93.0,176.0,20.0,19.0,72.0,'N'
8.0,7.0,0.0,0.0,4.0,2.0,4.0,21.0,26.5,19.8,10387.42,0.17,104.0,0.05,577.08,524.62,33.0,71.0,15.0,18.0,31.0,'N'
3.0,7.0,0.0,0.0,4.0,2.0,4.0,15.0,14.54,15.56,3518.33,0.08,50.0,0.06,195.46,226.18,20.0,30.0,9.0,14.0,20.0,'N'
1.0,5.0,0.0,0.0,3.0,2.0,3.0,6.0,13.38,6.42,550.79,0.03,21.0,0.16,30.6,85.84,7.0,14.0,6.0,11.0,9.0,'N'
73.0,35.0,3.0,18.0,18.0,6.0,8.0,64.0,22.39,51.33,59009.54,0.38,216.0,0.02,3278.31,1149.54,84.0,132.0,18.0,22.0,160.0,'Y'
9.0,17.0,0.0,10.0,9.0,7.0,8.0,57.0,55.62,23.07,29608.49,0.43,223.0,0.04,1644.92,1283.34,85.0,138.0,35.0,19.0,78.0,'N'
13.0,29.0,2.0,9.0,15.0,9.0,6.0,62.0,44.14,36.56,59011.68,0.54,268.0,0.03,3278.43,1613.99,117.0,151.0,40.0,25.0,88.0,'Y'
8.0,11.0,0.0,4.0,6.0,5.0,4.0,38.0,46.35,16.0,11864.41,0.25,147.0,0.06,659.13,741.53,56.0,91.0,21.0,12.0,53.0,'Y'
3.0,33.0,0.0,9.0,17.0,15.0,7.0,81.0,55.63,31.75,56075.59,0.59,299.0,0.03,3115.31,1766.16,127.0,172.0,40.0,20.0,95.0,'Y'
4.0,13.0,0.0,0.0,7.0,7.0,1.0,48.0,28.32,27.2,20951.94,0.26,162.0,0.04,1164.0,770.29,68.0,94.0,15.0,12.0,54.0,'Y'
4.0,7.0,0.0,6.0,4.0,2.0,3.0,12.0,35.08,12.52,5501.48,0.15,82.0,0.08,305.64,439.32,29.0,53.0,22.0,19.0,24.0,'N'
8.0,5.0,0.0,0.0,3.0,3.0,3.0,25.0,32.72,15.39,7753.7,0.17,99.0,0.06,430.76,503.66,39.0,60.0,19.0,15.0,35.0,'N'
1.0,5.0,0.0,0.0,3.0,2.0,3.0,8.0,10.99,6.4,449.97,0.02,19.0,0.16,25.0,70.31,8.0,11.0,5.0,8.0,11.0,'N'
1.0,9.0,0.0,0.0,5.0,2.0,4.0,12.0,9.23,14.3,1887.6,0.04,33.0,0.07,104.87,132.0,13.0,20.0,5.0,11.0,15.0,'N'
1.0,5.0,0.0,0.0,3.0,2.0,1.0,9.0,18.99,10.77,2201.88,0.07,43.0,0.09,122.33,204.46,20.0,23.0,13.0,14.0,12.0,'N'
3.0,3.0,0.0,0.0,2.0,1.0,1.0,16.0,16.21,15.44,3864.96,0.08,57.0,0.06,214.72,250.36,19.0,38.0,8.0,13.0,21.0,'Y'
10.0,13.0,2.0,2.0,7.0,7.0,1.0,45.0,55.74,21.72,26305.77,0.4,218.0,0.05,1461.43,1210.9,70.0,148.0,29.0,18.0,61.0,'Y'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,31.0,62.09,13.79,11804.52,0.29,155.0,0.07,655.81,856.15,70.0,85.0,33.0,13.0,35.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,6.55,3.0,58.95,0.01,7.0,0.33,3.28,19.65,1.0,6.0,1.0,6.0,6.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,34.82,2.44,208.05,0.03,23.0,0.41,11.56,85.11,11.0,12.0,9.0,4.0,6.0,'N'
13.0,9.0,0.0,1.0,5.0,5.0,1.0,147.0,147.28,37.21,203890.96,1.83,840.0,0.03,11327.28,5479.79,382.0,458.0,77.0,15.0,163.0,'Y'
7.0,31.0,0.0,26.0,16.0,3.0,7.0,62.0,23.77,51.75,63661.56,0.41,224.0,0.02,3536.75,1230.18,99.0,125.0,22.0,23.0,97.0,'N'
2.0,17.0,1.0,8.0,9.0,2.0,8.0,14.0,24.56,22.45,12380.3,0.18,101.0,0.04,687.79,551.4,41.0,60.0,21.0,23.0,25.0,'N'
11.0,16.0,1.0,13.0,11.0,4.0,1.0,58.0,49.25,17.86,15709.76,0.29,145.0,0.06,872.76,879.58,64.0,81.0,43.0,24.0,83.0,'N'
2.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,22.94,6.67,1019.5,0.05,36.0,0.15,56.64,152.93,12.0,24.0,9.0,10.0,12.0,'N'
3.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,38.75,4.38,745.02,0.06,40.0,0.23,41.39,169.92,19.0,21.0,13.0,6.0,14.0,'N'
8.0,7.0,1.0,0.0,4.0,3.0,1.0,29.0,38.2,24.14,22259.16,0.31,171.0,0.04,1236.62,922.09,71.0,100.0,25.0,17.0,40.0,'Y'
0.0,1.0,0.0,4.0,1.0,1.0,1.0,3.0,10.8,3.33,120.0,0.01,12.0,0.3,6.67,36.0,4.0,8.0,3.0,5.0,11.0,'N'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,11.23,2.0,44.92,0.01,8.0,0.5,2.5,22.46,3.0,5.0,3.0,4.0,5.0,'N'
7.0,7.0,1.0,4.0,4.0,2.0,3.0,27.0,29.64,15.79,7390.21,0.16,92.0,0.06,410.57,468.05,40.0,52.0,19.0,15.0,41.0,'N'
2.0,9.0,0.0,2.0,5.0,5.0,1.0,12.0,61.31,10.19,6360.68,0.21,119.0,0.1,353.37,624.5,50.0,69.0,27.0,11.0,18.0,'N'
3.0,3.0,0.0,0.0,2.0,1.0,1.0,9.0,20.01,12.6,3177.38,0.08,55.0,0.08,176.52,252.17,18.0,37.0,10.0,14.0,14.0,'N'
4.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,19.45,8.0,1244.72,0.05,36.0,0.13,69.15,155.59,16.0,20.0,10.0,10.0,17.0,'N'
17.0,169.0,1.0,17.0,85.0,58.0,57.0,287.0,209.56,24.56,126435.8,1.72,733.0,0.04,7024.21,5147.4,287.0,446.0,111.0,19.0,325.0,'Y'
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,5.33,1.5,12.0,0.0,4.0,0.67,0.67,8.0,1.0,3.0,1.0,3.0,5.0,'N'
11.0,14.0,0.0,1.0,12.0,12.0,1.0,61.0,44.06,45.09,89588.86,0.66,335.0,0.02,4977.16,1986.8,149.0,186.0,38.0,23.0,75.0,'N'
4.0,9.0,1.0,17.0,5.0,4.0,4.0,27.0,39.57,12.6,6282.0,0.17,98.0,0.08,349.0,498.57,36.0,62.0,20.0,14.0,51.0,'N'
12.0,31.0,0.0,18.0,16.0,11.0,13.0,81.0,43.26,55.74,134422.02,0.8,405.0,0.02,7467.89,2411.45,165.0,240.0,37.0,25.0,114.0,'Y'
31.0,7.0,0.0,3.0,4.0,4.0,1.0,19.0,10.32,32.0,10567.04,0.11,73.0,0.03,587.06,330.22,28.0,45.0,7.0,16.0,55.0,'Y'
11.0,405.0,0.0,17.0,404.0,2.0,1.0,814.0,101.2,206.01,4294926.45,6.95,2033.0,0.0,238607.05,20848.47,813.0,1220.0,811.0,411.0,844.0,'Y'
0.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,17.9,10.5,1973.83,0.06,41.0,0.1,109.66,187.98,15.0,26.0,10.0,14.0,11.0,'N'
2.0,3.0,0.0,0.0,2.0,2.0,1.0,16.0,39.02,8.53,2838.95,0.11,70.0,0.12,157.72,332.84,29.0,41.0,17.0,10.0,20.0,'N'
5.0,17.0,0.0,5.0,9.0,3.0,6.0,35.0,27.41,23.5,15139.0,0.21,118.0,0.04,841.06,644.21,47.0,71.0,22.0,22.0,47.0,'Y'
8.0,55.0,0.0,7.0,28.0,19.0,20.0,125.0,79.03,48.45,185548.49,1.28,587.0,0.02,10308.25,3829.33,246.0,341.0,66.0,26.0,142.0,'N'
1.0,1.0,0.0,2.0,1.0,1.0,1.0,6.0,25.84,4.13,439.75,0.04,28.0,0.24,24.43,106.61,11.0,17.0,8.0,6.0,13.0,'N'
