@relation MW1
@attribute attr0 real
@attribute attr1 real
@attribute attr2 real
@attribute attr3 real
@attribute attr4 real
@attribute attr5 real
@attribute attr6 real
@attribute attr7 real
@attribute attr8 real
@attribute attr9 real
@attribute attr10 real
@attribute attr11 real
@attribute attr12 real
@attribute attr13 real
@attribute attr14 real
@attribute attr15 real
@attribute attr16 real
@attribute attr17 real
@attribute attr18 real
@attribute attr19 real
@attribute attr20 real
@attribute attr21 real
@attribute attr22 real
@attribute attr23 real
@attribute attr24 real
@attribute attr25 real
@attribute attr26 real
@attribute attr27 real
@attribute attr28 real
@attribute attr29 real
@attribute attr30 real
@attribute attr31 real
@attribute attr32 real
@attribute attr33 real
@attribute attr34 real
@attribute attr35 real
@attribute attr36 real
@attribute attr37 string
@data
5.0,7.0,13.0,0.0,7.0,8.0,4.0,0.16,4.0,2.0,4.0,1.0,26.0,1.0,0.0,25.0,2.0,73.59,5.95,2602.12,0.15,84.0,0.17,144.56,437.59,0.25,2.0,4.0,24.0,0.11,37.0,47.0,28.0,9.0,38.0,21.88,25.0,'N'
5.0,21.0,3.0,1.0,2.0,24.0,11.0,0.3,4.0,6.0,2.0,0.18,32.0,10.0,0.0,36.0,1.0,47.96,18.75,16859.61,0.3,161.0,0.05,936.64,899.18,0.91,10.0,12.0,23.0,0.24,75.0,86.0,32.0,16.0,45.0,7.69,37.0,'N'
2.0,5.0,0.0,0.0,4.0,8.0,3.0,0.33,4.0,2.0,1.0,0.33,10.0,1.0,0.0,9.0,0.0,14.06,7.5,791.15,0.04,27.0,0.13,43.95,105.49,0.33,2.0,4.0,9.0,0.19,10.0,17.0,6.0,9.0,16.0,30.77,9.0,'N'
3.0,5.0,3.0,0.0,15.0,8.0,3.0,0.19,4.0,2.0,2.0,0.67,13.0,1.0,0.0,16.0,2.0,20.14,12.83,3317.73,0.09,55.0,0.08,184.32,258.51,0.33,2.0,4.0,12.0,0.09,22.0,33.0,12.0,14.0,35.0,48.39,16.0,'Y'
3.0,5.0,2.0,0.0,5.0,8.0,3.0,0.43,4.0,2.0,2.0,0.67,13.0,1.0,0.0,7.0,0.0,14.4,11.88,2030.23,0.06,41.0,0.08,112.79,170.97,0.33,2.0,4.0,12.0,0.19,19.0,22.0,8.0,10.0,16.0,41.67,7.0,'N'
11.0,16.0,2.0,0.0,3.0,24.0,9.0,0.26,12.0,2.0,3.0,0.33,34.0,1.0,0.0,35.0,0.0,17.38,36.0,22527.81,0.21,122.0,0.03,1251.55,625.77,0.11,6.0,12.0,27.0,0.18,54.0,68.0,15.0,20.0,50.0,7.89,35.0,'N'
3.0,3.0,4.0,0.0,3.0,4.0,2.0,0.15,2.0,2.0,2.0,1.0,9.0,1.0,0.0,13.0,2.0,25.81,7.08,1295.09,0.06,41.0,0.14,71.95,182.84,0.5,1.0,2.0,9.0,0.1,17.0,24.0,12.0,10.0,20.0,18.75,13.0,'N'
10.0,7.0,7.0,0.0,14.0,12.0,4.0,0.15,6.0,2.0,2.0,0.5,23.0,3.0,0.0,26.0,0.0,44.19,10.02,4437.26,0.15,85.0,0.1,246.51,442.8,0.75,3.0,6.0,21.0,0.08,37.0,48.0,24.0,13.0,51.0,35.0,26.0,'N'
10.0,19.0,8.0,0.0,13.0,28.0,10.0,0.24,12.0,2.33,7.0,0.7,43.0,7.0,0.0,42.0,2.0,45.15,21.11,20115.78,0.32,162.0,0.05,1117.54,952.99,0.7,8.0,14.0,35.0,0.15,71.0,91.0,37.0,22.0,66.0,23.64,42.0,'N'
9.0,5.0,7.0,0.0,6.0,8.0,3.0,0.18,4.0,2.0,3.0,1.0,16.0,1.0,0.0,17.0,2.0,38.07,9.14,3182.29,0.12,69.0,0.11,176.79,348.06,0.33,2.0,4.0,15.0,0.09,32.0,37.0,21.0,12.0,33.0,26.09,17.0,'N'
